"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"rho0",1.027778305382,0.00142323943121141,0.0681368395815488,0.897955199252247,0.981571040214661,1.02666744925969,1.07430820010844,1.16378055492017,2291.9652901251,0.999754577917018
"rho1",0.321077685923544,0.00103434631367755,0.0386380697364507,0.250309165992666,0.294394278728564,0.319814608740008,0.346194446069473,0.400853482388137,1395.40058909611,1.00205387650336
"rho2",-0.493301162472084,0.0040880841470224,0.151554406255048,-0.796900766076164,-0.591965280567396,-0.492558123689882,-0.391740483743763,-0.202516017040453,1374.35042755919,1.00379870522587
"rho3",-0.0129819981751697,0.00145816584598597,0.0653538121020661,-0.139846329476449,-0.0561106963305213,-0.0128842625056195,0.0315317593949649,0.115210760819409,2008.7597922137,1.00082810530766
"sigma",0.482943925489316,0.00212025719017989,0.0698888960349062,0.35735082412223,0.433068368960602,0.479587937806016,0.529657993459961,0.630000030669747,1086.5238691807,1.00107727388024
"eps[1]",1.0551967381258,0.00914918054502227,0.592230011396434,-0.137474650809239,0.666316629270823,1.06894132811172,1.46083759919226,2.17168855506109,4190.02319904701,1.00016178582852
"eps[2]",-0.293468325703202,0.0103260111593423,0.673235578085232,-1.62748173719352,-0.751407421213127,-0.281236381445641,0.178147884238461,0.987633923017901,4250.78302417815,1.00062983075401
"eps[3]",-0.294810055233462,0.0116178969811023,0.918540977281426,-2.10662279116775,-0.921814776673234,-0.27748328234407,0.341418917150558,1.53315649264785,6250.8924787921,0.999233467408141
"eps[4]",0.0588397733752731,0.0108276719967962,0.640871970128962,-1.23247184501133,-0.3605810781247,0.068208727621739,0.49914237079449,1.28048157092364,3503.26001367831,1.00078176497721
"eps[5]",0.282007619430575,0.0102222494029993,0.675479617004462,-1.08010768736526,-0.174942754366039,0.312299384642529,0.747339836008214,1.54754229824481,4366.48076684064,0.999478999578915
"eps[6]",-0.623488163958184,0.0112732965989612,0.644729763715864,-1.901228199489,-1.0595605615714,-0.624497744160777,-0.187868784813316,0.65685946806096,3270.79686394496,1.00064266963221
"eps[7]",-0.110056974731919,0.0112128466781383,0.641617197916245,-1.38558571210602,-0.540233065647215,-0.0947509455536852,0.306377838224121,1.15247905570235,3274.31324612973,1.00035387201468
"eps[8]",-0.643997888717685,0.0109603759077918,0.745777641541408,-2.12525614696906,-1.14239795919838,-0.644484853423229,-0.132626753879795,0.771688889900787,4629.85957891393,0.999910201351355
