"rho1","rho2","rho3","loglik2.5","loglik50","loglik97.5","rho0_2.5","rho0_50","rho0_97.5","rho1_2.5","rho1_50","rho1_97.5","rho2_2.5","rho2_50","rho2_97.5","rho3_2.5","rho3_50","rho3_97.5","rhomax_2.5","rhomax_50","rhomax_97.5"
0,-0.5,-0.1,NA,NA,NA,-0.19180919319827,0.00507870759594932,0.201716465415014,-0.136574479992336,-0.0532328473021942,0.0282205948448878,-0.970621323611122,-0.663977539764493,-0.364677352853593,-0.170244920393558,-0.0732302954490713,0.023388025718328,1.45088549037174,1.69487061843421,2.00180543020355
0.4,0.25,-0.1,NA,NA,NA,-0.169174405728742,0.0227945902827188,0.220071283317256,0.225708907584574,0.314433075858619,0.406770314144814,-0.072086442032811,0.240174878034827,0.551274157330201,-0.163522394074418,-0.0509337644220544,0.0665188958577974,1.38431215747185,1.62915554143743,1.95119823014071
0.1,0.5,-0.1,NA,NA,NA,-0.164032070311181,0.0243747112296155,0.213996330631662,0.0558850435544185,0.133561026742532,0.215929642053844,-0.568001488355939,-0.027025628510079,0.470642335108619,-0.241926048322906,-0.0814869418307413,0.0697053638040246,1.45381233317728,1.70933037184214,2.03548126419548
0.5,0.25,-0.1,NA,NA,NA,-0.162127744031834,0.0255786047990676,0.221458687186015,0.38991606091972,0.48945061501931,0.5993618600166,-0.104072592000865,0.109949668348942,0.325584698881719,-0.282057258251325,-0.169801685082315,-0.0654777097325337,1.23506733233979,1.44938942291839,1.70828943835765
0.1,-0.5,-0.1,NA,NA,NA,-0.162099995282238,0.0299577097137872,0.21711904023694,0.127094493710462,0.210594861906447,0.301267065238957,-0.413763803058923,-0.139629385651978,0.169142552292868,-0.181219457458042,-0.0949836856908987,-0.00414292661032646,1.40720836583913,1.65848451201098,1.96668335752006
0.3,0.25,-0.1,NA,NA,NA,-0.187230464501286,0.009885032221743,0.21555698451302,0.212379934881041,0.297000942412031,0.38943966364904,-0.0968571174675022,0.191120293366748,0.438424641980649,-0.132056646425938,-0.0416241724353963,0.0387163041539878,1.42751279777545,1.69404167062741,2.01313300740632
0,0.5,-0.1,NA,NA,NA,-0.170844270425293,0.0217097899216043,0.213880156084917,-0.0731896087924787,0.0110730451170735,0.0921201622813526,-0.114360715556732,0.153136260631273,0.399581756097749,-0.157229894032903,-0.0801827326888674,-0.0105738612714022,1.27910098831063,1.5092166829855,1.77616111348887
0,-0.5,-0.05,NA,NA,NA,-0.177269305159903,0.0125257533176129,0.206552112305419,-0.00615929044025875,0.072736142564183,0.154366093529814,-0.700064458276552,-0.445282138110054,-0.203694062655816,-0.0802761327358725,-0.0124980384894952,0.0555062161689935,1.18971936058724,1.3920973467072,1.64932834264219
0.2,-0.5,-0.1,NA,NA,NA,-0.175890272205376,0.0207893496595717,0.218287563713652,0.140957995336306,0.22913054242341,0.325351996830255,-0.91525443307899,-0.524763497115532,-0.129163117826764,-0.226304057635793,-0.0759531546615235,0.0634329393778932,1.2839009613099,1.52573045555739,1.8042178054611
0.2,0.25,0,NA,NA,NA,-0.173683093027071,0.0156455740915403,0.218470500852081,0.0761311178103862,0.152809440884639,0.236817190994617,0.0505123375270732,0.49270513368329,0.889890800659913,-0.185991954759486,-0.0586109019849068,0.0573788885573488,1.28965400167447,1.52043500099882,1.79846372816774
