Plants_Common_Name,Plants_Latin_Name,Plants_Family,Plants_category,Moisture_percent,Ash_percent,Fibres_Total_g100g,Lipids_Total_g100g,Proteins_Total_g100g,Carbohydrates_Total_g100g,Sugar_Total_g100g,Energy_kcal100g,Mg_Mineral_mgKg,Zn_Mineral_mgKg,Fe_Mineral_mgKg,Ca_Mineral_mgKg,P_Mineral_mgKg,Mn_Mineral_mgKg,K_Mineral_mgKg,Na_Mineral_mgKg,Cu_Mineral_mgKg,Pb_HeavyMetal_mgKg,Se_HeavyMetal_mgKg,Cr_HeavyMetal_mgKg,S_HeavyMetal_mgKg,VitaminC_ascorbicacid_ugg,VitaminA_Retinol_ugg,VitaminB1_thiamine_ugg,VitaminB2_riboflavin_ugg,VitaminB3_nicotinicacid_ugg,VitaminB3_nicotinamide_ugg,VitaminB3_total_niacin_ugg,VitaminB5_pantothenicacid_ugg,VitaminB6_pyridoxine_ugg,VitaminB8_biotin_ugg,VitaminB9_folicacid_ugg,VitaminB12_cobalamin_ugg,VitaminE_tocopherol_ugg,Palmitic_16:0_percent,Palmitoleic_16:1_percent,Oleic_18:1_percent,Omega6_Linoleic_18:2_percent,Omega-3_α-linolenicacid_18:3_percent,Omega-6_γ-Linolenic_18:3_percent,Stearic_18:0_percent,Butyricacid_4:0_percent,Hexanoicacid_6:0_percent,Caprylicacid_8:0_percent,Capricacid_10:0_percent,Undecanoicacid_11:0_percent,Lauricacid_12:0_percent,Myristicacid_14:0_percent,Pentadecanoicacid_15:0_percent,Heptadecanoicacid_17:0_percent,Heptadecenoicacid_17:1_percent,Arachidic_20:0_percent,Omega9_Heneicosenoicacid_21:1_percent,Tricosanoicacid_23:0_percent,Behenic_22:0_percent,Lignocericacid_24:0_percent,Trans-omega9_Elaidicacid_18:1_percent,Omega9_Eicosenoicacid_20:1_percent,Cis-omega12_Petroselinicacid_18:1_percent,Omega9_11-Eicosenoicacid_20:9_percent,Omega9_Erucicacid_22:1_percent,Omega9_Nervonicacid_24:1_percent,Omega3_Docosahexaenoicacid_22:6_percent,Omega6_Linolelaidicacid_18:2trans_percent,Omega6_Eicosadienoicacid_20:2_percent,Omega6_Dihomo-y-linolenicacid_20:3_percent,Omega6_Eicosatrienoicacid_20:3_percent,Omega6_Arachidonicacid_20:4_percent,Omega3_Eicosapentaenoicacid_20:5_percent,TSFA_gKg,TMFAs_gKg,PUFAs_gKg,TUSFA_g/Kg,TUSFA/SFA,EAA_Arginine_mgg,EAA_Histidine_mgg,EAA_Isoleucine_mgg,EAA_Leucine_mgg,EAA_Lysine_mgg,EAA_Methionine_mgg,EAA_Phenylalanine_mgg,EAA_Threonine_mgg,EAA_Tryptophan_mgg,EAA_Valine_mgg,Total_AAs_mgg,Total_NEAAs_mgg,Total_EAAs_mgg,TEAA/TAA,Author,,
Citrus,Citrus spp,Rutaceae,Food,10.7,NA,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somerville 2006,,
Coconut,Cocos nucifera,Arecaceae,Food,12.7 ± 0.1,2.3,3.054 ± 0.033,10.4 ± 0.1,25.4 ± 0.1,46.2 ± 0.1,NA,380 ± 1,920 ± 7,53.82 ± 0.51,133.00 ± 0.51,1800 ± 6,3300 ± 6,70.81 ± 0.54,3600 ± 18,284.00 ± 0.22,10.95 ± 0.13,NA,NA,0.65 ± 0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6 ± 0.01,0.30 ± 0.01,10.42 ± 0.02,11.32 ± 0.02,14.40 ± 0.03,5.54 ± 0.03,1.2 ± 0.01,0.14 ± 0.01,0.2 ± 0.02,0.51 ± 0.01,0.35 ± 0.01,NA,0.35 ± 0.02,0.39 ± 0.01,NA,3.24 ± 0.04,0.26 ± 0.01,1.19 ± 0.03,0.48 ± 0.01,NA,0.98 ± 0.01,0.66 ± 0.02,0.44 ± 0.01,1.32 ± 0.01,NA,NA,NA,NA,NA,NA,NA,NA,15.76 ± 0.04,18.36 ± 0.02,3.36 ± 0.02,178.1,127.8,687.4,815.2,4.6,9.8,12.3,7.3,24.7,20.1,4.7,6.5,10.4,3.7,9.9,246.9,NA,109.4,NA,Thakur & Nanda 2018,,
Cilantro/coriander,Coriandrum sativum,Apiaceae,Food,19.6 ± 0.1,3.5,4.313 ± 0.063,8.3 ± 0.1,22.1 ± 0.1,42.3 ± 0.1,NA,332 ± 3,970 ± 10,40.95 ± 0.64,82.4 ± 0.2,1900 ± 11,4600 ± 13,60.43 ± 0.18,4100 ± 23,920 ± 7,10.42 ± 0.25,NA,NA,1.15 ± 0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.08 ± 0.02,0.1 ± 0.01,6.41 ± 0.04,3.25 ± 0.01,16.28 ± 0.03,0.55 ± 0.02,1.9 ± 0.02,NA,NA,NA,NA,NA,NA,0.55 ± 0.02,0.07 ± 0.01,0.25 ± 0.01,1.66 ± 0.03,0.6 ± 0.02,0.18 ± 0.02,0.14 ± 0.01,NA,0.43 ± 0.01,0.11 ± 0.02,1.01 ± 0.01,1.1 ± 0.02,NA,0.32 ± 0.02,0.16 ± 0.01,0.15 ± 0.01,0.55 ± 0.02,0.32 ± 0.01,0.09 ± 0.01,54.01 ± 0.03,NA,0.51 ± 0.02,130.2,109.4,757.1,866.5,6.7,10.3,5.8,10.1,20.0,18.7,NA,9.2,8.4,2.6,10.3,218.6,NA,96.5,NA,Thakur & Nanda 2018,,
Summer squash,Curcubita pepo Thunb,Cucurbitaceae,Food,NA,1.9 ± 0.1,0.97 ± 0.01,5.4 ± 0.05,15.6-16.4,NA,F:17.8 ± 0.1;G:16.7 ± 0.1,NA,2353.11 ± 2.09,31.92 ± 1.00,562.06 ± 4.00,2700.73 ± 1.43,235.30 ± 1.10,16.60 ± 0.5,6416.55 ± 4.64,6525.00 ± 2.50,6.71 ± 0.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,6.3,5.8,11.7,7.7,0.7,2.6,4.0,1.0,8.6,NA,NA,NA,NA,Taha et al. 2015; Taha et al. 2017,,
Wild carrot,Daucus carota,Apiaceae,Food,NA,NA,NA,NA,NA,NA,NA,NA,753 ± 9,43 ± 2,203 ± 9 ,2414 ± 38 ,2385 ± 50 ,20 ± 3 ,5250 ± 111 ,455 ± 14 ,6 ± 1 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolios et al. 2018,,
Autumn heather,Erica manipuliflora,Ericaceae,Food,NA,NA,NA,NA,NA,NA,NA,NA,2278 ± 63,55 ± 4,82 ± 7 ,4201 ± 99 ,2467 ± 41 ,149 ± 3 ,11604 ± 150 ,633 ± 13 ,8 ± 2 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolios et al. 2018,,
Heathers,Erica spp,Ericaceae,Food,NA,NA,1.1-1.3,3.4-5.3,18.0-23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anjos et al. 2019,,
Fabaceae 48%,Faba spp,Fabaceae,Food,NA,NA,NA,NA,NA,NA,NA,NA,928 ± 10,36.59 ± 0.06,83.12 ± 0.73 ,1462 ± 28 ,NA,18.38 ± 0.22 ,3389 ± 56 ,54.88 ± 0.56 ,7.591 ± 0.050 ,NA,NA,0.263 ± 0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kostić et al. 2015,,
Fabaceae 50%,Faba spp,Fabaceae,Food,NA,NA,NA,NA,NA,NA,NA,NA,964 ± 15,39.77 ± 0.22,64.10 ± 0.34 ,1588 ± 5 ,NA,23.40 ± 0.17 ,3562 ± 13 ,16.36 ± 0.16 ,10.295 ± 0.045 ,NA,NA,0.238 ± 0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kostić et al. 2015,,
Fabaceae 57%,Faba spp,Fabaceae,Food,NA,NA,NA,NA,NA,NA,NA,NA,703 ± 6,41.91 ± 0.49,39.56 ± 0.38 ,1229 ± 17 ,NA,13.81 ± 0.14 ,3219 ± 40 ,21.74 ± 0.22 ,6.858 ± 0.066 ,NA,NA,0.169 ± 0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kostić et al. 2015,,
