Plants_Common_Name,Plants_Latin_Name,Plants_Family,Plants_category,Moisture_percent,Ash_percent,Fibres_Total_g100g,Lipids_Total_g100g,Proteins_Total_g100g,Carbohydrates_Total_g100g,Sugar_Total_g100g,Energy_kcal100g,Mg_Mineral_mgKg,Zn_Mineral_mgKg,Fe_Mineral_mgKg,Ca_Mineral_mgKg,P_Mineral_mgKg,Mn_Mineral_mgKg,K_Mineral_mgKg,Na_Mineral_mgKg,Cu_Mineral_mgKg,Pb_HeavyMetal_mgKg,Se_HeavyMetal_mgKg,Cr_HeavyMetal_mgKg,S_HeavyMetal_mgKg,VitaminC_ascorbicacid_ugg,VitaminA_Retinol_ugg,VitaminB1_thiamine_ugg,VitaminB2_riboflavin_ugg,VitaminB3_nicotinicacid_ugg,VitaminB3_nicotinamide_ugg,VitaminB3_total_niacin_ugg,VitaminB5_pantothenicacid_ugg,VitaminB6_pyridoxine_ugg,VitaminB8_biotin_ugg,VitaminB9_folicacid_ugg,VitaminB12_cobalamin_ugg,VitaminE_tocopherol_ugg,Palmitic_16:0_percent,Palmitoleic_16:1_percent,Oleic_18:1_percent,Omega6_Linoleic_18:2_percent,Omega-3_α-linolenicacid_18:3_percent,Omega-6_γ-Linolenic_18:3_percent,Stearic_18:0_percent,Butyricacid_4:0_percent,Hexanoicacid_6:0_percent,Caprylicacid_8:0_percent,Capricacid_10:0_percent,Undecanoicacid_11:0_percent,Lauricacid_12:0_percent,Myristicacid_14:0_percent,Pentadecanoicacid_15:0_percent,Heptadecanoicacid_17:0_percent,Heptadecenoicacid_17:1_percent,Arachidic_20:0_percent,Omega9_Heneicosenoicacid_21:1_percent,Tricosanoicacid_23:0_percent,Behenic_22:0_percent,Lignocericacid_24:0_percent,Trans-omega9_Elaidicacid_18:1_percent,Omega9_Eicosenoicacid_20:1_percent,Cis-omega12_Petroselinicacid_18:1_percent,Omega9_11-Eicosenoicacid_20:9_percent,Omega9_Erucicacid_22:1_percent,Omega9_Nervonicacid_24:1_percent,Omega3_Docosahexaenoicacid_22:6_percent,Omega6_Linolelaidicacid_18:2trans_percent,Omega6_Eicosadienoicacid_20:2_percent,Omega6_Dihomo-y-linolenicacid_20:3_percent,Omega6_Eicosatrienoicacid_20:3_percent,Omega6_Arachidonicacid_20:4_percent,Omega3_Eicosapentaenoicacid_20:5_percent,TSFA_gKg,TMFAs_gKg,PUFAs_gKg,TUSFA_g/Kg,TUSFA/SFA,EAA_Arginine_mgg,EAA_Histidine_mgg,EAA_Isoleucine_mgg,EAA_Leucine_mgg,EAA_Lysine_mgg,EAA_Methionine_mgg,EAA_Phenylalanine_mgg,EAA_Threonine_mgg,EAA_Tryptophan_mgg,EAA_Valine_mgg,Total_AAs_mgg,Total_NEAAs_mgg,Total_EAAs_mgg,TEAA/TAA,Author,,
Fabaceae 72%,Faba spp,Fabaceae,Food,NA,NA,NA,NA,NA,NA,NA,NA,963 ± 11,38.05 ± 0.22,60.28 ± 0.78 ,1438 ± 29 ,NA,21.97 ± 0.37 ,3508 ± 53 ,16.63 ± 0.02 ,8.081 ± 0.128 ,NA,NA,0.235 ± 0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kostić et al. 2015,,
Fabaceae 78%,Faba spp,Fabaceae,Food,NA,NA,NA,NA,NA,NA,NA,NA,848 ± 7,48.50 ± 0.49,54.63 ± 0.22 ,1308 ± 30 ,NA,18.12 ± 0.24 ,3820 ± 49 ,19.62 ± 0.19 ,8.208 ± 0.082 ,NA,NA,0.196 ± 0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kostić et al. 2015,,
Fabaceae 81%,Faba spp,Fabaceae,Food,NA,NA,NA,NA,NA,NA,NA,NA,875 ± 10,40.74 ± 0.05,93.64 ± 1.53 ,1236 ± 29 ,NA,18.96 ± 0.22 ,3512 ± 92 ,34.70 ± 0.22 ,7.326 ± 0.098 ,NA,NA,0.266 ± 0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kostić et al. 2015,,
Buckwheat ,Fagopyrum esculentum,Polygonaceae,Food,NA,NA,NA,NA,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,2.9,4.8,7.5,7.5,2.2,4.2,4.6,NA,5.5,NA,NA,NA,NA,Somerville 2006,,
Buckwheat ,Fagopyrum esculentum,Polygonaceae,Food,4.2 ± 0.3,5.0 ± 0.1,1.90 ± 0.12,5.2 ± 0.3,14.3 ± 0.6,74.5 ± 0.4,NA,401 ± 4,2835 ± 12,28.3-31.5,66.2-208.4,2080 ± 14,6618 ± 15,NA,5894 ± 11,NA,7.5-8.4,0.23 ± 0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.38 ± 0.11,NA,41.24 ± 2.15,4.38 ± 0.02,17.18 ± 1.03,NA,4.38 ± 0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.88 ± 0.26,NA,NA,11.56 ± 0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2 ± 0.5,4.2 ± 0.2,5.6 ± 0.2,8.8 ± 0.5,7.2 ± 0.6,2.0 ± 0.1,5.3 ± 0.2,4.6 ± 0.1,7.7 ± 0.3,7.0 ± 0.4,128.6 ± 0.3,80.4 ± 1.6,48.2 ± 2.1,NA,Yang et al. 2013; Kalaycioglu et al. 2017,,
Strawberry,Fragaria ananassa ,Rosaceae,Food,NA,NA,NA,NA,NA,NA,3.8-9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04 mM/mg ,3.75 mM/mg ,NA,1.06 mM/mg ,4.75 mM/mg,0.42 mM/mg,0.36 mM/mg,2.29 mM/mg,NA,NA,NA,NA,NA,NA,Grünfeld 1989,,
Soybean,Glycine max,Fabaceae,Food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,3.8,7.0,12.0,15.9,3.5,7.2,7.4,NA,8.9,NA,NA,NA,NA,Somerville 2006,,
Common sunflower,Helianthus annuus,Asteraceae,Food,4.6 ± 0.2,1.6-2.0,1.7-2.0,1.3-4.6,12.9-15.7,72.0 ± 0.3,F:17.2 ± 0.1G:15.4 ± 0.1,446 ± 8,569-2706,20-63,30-345,1711-2089,235-5438,18-23,2634-6237,172-6349,7.2-17.0,0.56 ± 0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.89 ± 1.77,NA,5.87 ± 0.38,10.21 ± 0.76,42.08 ± 2.11,NA,3.06 ± 0.17,NA,NA,3.9 ± 0.35,0.38 ± 0.01,NA,2.94 ± 0.32,1.17 ± 0.09,NA,NA,NA,1.09 ± 0.04,NA,NA,0.41 ± 0.02 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9-15,5.5-6.9,5.1-13.0,7.4-20,7.0-15.0,0.4-7,1.2-14,4.3-12,0.5-7,5.3-15,116.5,73,44-129,NA,Yang et al. 2013; McAuley et al. 2018; Liolios et al. 2018; Taha et al. 2015; Taha et al. 2017,,
Apple,Malus domestica,Rosaceae,Food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5-4.6,NA,0.3-0.9,NA,NA,NA,0.1-0.4,NA,NA,NA,NA,NA,NA,Tupy 1963,,
Alfalfa,Medicago sativa,Fabaceae,Food,NA,3.7,0.78 ± 0.01,2.9 ± 0.1,19.5-20.2,NA,F:19.5 ± 0.1;G:16.5 ± 0.1,NA,4557.18 ± 1.45,44.18 ± 1.00,533.86 ± 1.87,5752.19 ± 1.97,455.71 ± 1.45,30.26 ± 0.44,7214.00 ± 1.19,7311.98 ± 5.00,5.86 ± 0.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,3.5,7.2,12.9,6.4,0.4,3.1,4.7,1.2,10.0,NA,NA,NA,NA,Taha et al. 2015; Taha et al. 2017,,
Common olive,Olea europaea,Oleaceae,Food,NA,NA,NA,NA,NA,NA,NA,NA,444 ± 11,30 ± 1,62 ± 5 ,733 ± 14 ,4311 ± 41 ,20 ± 2 ,4370 ± 31 ,146 ± 4 ,11 ± 1 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolios et al. 2018,,
Date palm,Phoenix dactylifera,Arecaceae,Food,NA,3.9,0.15 ± 0.01,1.8 ± 0.02,18.9-19.8,NA,NA,NA,4680.53 ± 0.76,40.97 ± 0.90,338.12 ± 1.79,5629.85 ± 2.46,468.05 ± 1.25,38.61 ± 0.50,6402.90 ± 2.55,6586.40 ± 4.00,4.24 ± 0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taha et al. 2015; Taha et al. 2019,,
Almond,Prunus amygdalus,Rosaceae,Food,NA,NA,NA,NA,NA,NA,NA,NA,748 ± 12,46 ± 3,64 ± 3 ,446 ± 13 ,7328 ± 100 ,13 ± 2 ,5702 ± 91 ,170 ± 8 ,13 ± 1 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,4.1,9.0,15.5,13.3,5.5,9.4,10.1,NA,10.9,NA,NA,NA,NA,Liolios et al. 2018; Somerville 2006,,
Almond ,Prunus dulcis,Rosaceae,Food,NA,NA,NA,NA,22.1-25.4,NA,NA,NA,775,103,NA,1150,NA,NA,5670,NA,NA,6,NA,NA,NA,206,NA,NA,NA,NA,NA,71.0-80.5,7.6-33.8,6.1-9.1,NA,NA,NA,NA,23.34-26.46,NA,3.89-4.09,10.41-15.78,26.20-33.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.71-22.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3-19.1,5.3-8.4,12.1-17.6,19.3-27.9,18.4-28.6,0.53-0.76,11.6-17.6,9.6-14.5,NA,15.6-23.2,215-375,NA,NA,NA,Loper et al. 1980; Standifler et al. 1980; Bertrand et al. 2019,,
European pear ,Pyrus communis,Rosaceae,Food,11.5,NA,NA,NA,26.2,NA,NA,NA,835 ± 27,48 ± 4,146 ± 6 ,1266 ± 30 ,7126 ± 85 ,19 ± 2 ,7250 ± 65 ,209 ± 7 ,13 ± 2 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,6.2,9.7,16.2,15.1,5.7,9.8,10.4,NA,12.7,NA,NA,NA,NA,Liolios et al. 2018; Somerville 2006,,
Rubus ,Rubus spp,Rosaceae,Food,NA,NA,2.8,3.7-4.4,17.5-18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anjos et al. 2019; Bertrand et al. 2019; Lau et al. 2022,,
Rubus ,Rubus spp,Rosaceae,Food,NA,NA,NA,6.4,22.0,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Di Pasquale et al. 2013; Bertrand et al. 2019 ,,
Rubus ,Rubus spp,Rosaceae,Food,8.6,NA,NA,NA,21.0,44.2,F:23.2;G:21.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,NA,8.8,8.1,NA,24.6,2.0,NA,NA,0.1,0.1,0.3,0.4,0.4,0.04,0.1,5.7,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saa-Otero et al. 2000,,
Five-flavor berry,Schisandra chinensis,Schisandraceae,Food,7.2 ± 0.2,3.4 ± 0.1,2.15 ± 0.121,2.4 ± 0.1,27.4 ± 0.7,67.0 ± 0.4,NA,397 ± 4,1939 ± 1,45.84 ± 0.58,135.9 ± 0.1 ,2278 ± 6 ,7043 ± 17 ,NA,6113 ± 20 ,NA,25.11 ± 0.03 ,0.96 ± 0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.43 ± 0.88,4.39 ± 0.22,18.23 ± 1.31,18.79 ± 1.22,33.38 ± 3,NA,2.0 ± 0.09,NA,NA,NA,NA,NA,NA,1.74 ± 0.13,NA,NA,NA,1.27 ± 0.09,NA,NA,0.77 ± 0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7 ± 0.5,7.0 ± 0.5,10.4 ± 0.5,16.2 ± 0.4,14.2 ± 0.5,2.5 ± 0.1,11.1 ± 0.6,8.2 ± 0.5,10.5,12.6 ± 0.6,244.5 ± 0.3,15.8 ± 0.3,85.7 ± 0.2,NA,Yang et al. 2013,,
Tomato,Solanum lycopersicum,Solanaceae,Food,NA,NA,NA,NA,NA,8.5-13.0,Total:4.0-9.6; S:2.5-7.2; G:0.7-1.8 ; F:0.8-1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77 nmol/g,320 nmol/g,338 nmol/g ,291 nmol/g,637 nmol/g,NA,367 nmol/g,1065 nmol/g,NA,901 nmol/g,NA,NA,NA,NA,Schwacke et al. 1999; Pressman et al. 2002; Aghofack-Nguemezi & Schwab 2014,,
Red clover,Trifolium pratense,Fabaceae,Food,NA,NA,NA,NA,40.8 ± 3.6 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanley et al. 2008,,
White clover ,Trifolium repens,Fabaceae,Food,12.6,2.7,NA,NA,25.9-36.0,NA,"28.5-39.6 (6.5 Glucose, 21.2 Fructose",NA,890,NA,NA,1670,1800,21,8100,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7-10.9,4.6-5.7,10.2-10.4,16.1,10.8-13.5,5.0,9.8-10.4,10.3-12.6,NA,12.1,NA,NA,NA,NA,McLellan 1977; Somerville 2006; Hanley et al. 2008; Bertrand et al. 2019; Vaudo et al. 2024; Lawson et al. 2020,,
Trifolium spp,Trifolium spp,Fabaceae,Food,NA,NA,NA,NA,NA,NA,NA,NA,671 ± 16,46 ± 4,96 ± 6 ,909 ± 62 ,8715 ± 83 ,20 ± 2 ,6374 ± 106 ,117 ± 7 ,13 ± 2 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolios et al. 2018,,
Highbush blueberry ,Vaccinium corymbosum ,Ericaceae,Food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lacking,NA,NA,Lacking,NA,lacking,NA,Lacking,NA,NA,NA,NA,Dufour 2020,,
Cranberry ,Vaccinium macrocarpon,Ericaceae,Food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lacking,NA,NA,Lacking,NA,Lacking,NA,Lacking,NA,NA,NA,NA,Dufour 2020,,
Blueberry ,Vaccinum spp ,Ericaceae,Food,NA,NA,NA,NA,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0,2.4,5.9,8.3,7.9,2.8,4.4,4.7,NA,6.8,NA,NA,NA,NA,Sommerville 2006,,
Broad bean ,Vicia faba,Fabaceae,Food,NA,NA,NA,NA,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29***,12***,23***,35***,26***,10***,24***,22***,5***,31***,420.9 ± 16.3***,NA,216.3 ± 4.2***,NA,McAuley et al. 2018,,
Broad bean ,Vicia faba,Fabaceae,Food,5.2 ± 0.2,4.3 ± 0.1,1.827 ± 0.079,0.7 ± 0.22,27.9 ± 0.4,67.2 ± 0.4,NA,411 ± 6,2202 ± 19,55.04 ± 0.02,158.3 ± 0.5 ,3016 ± 30 ,8587 ± 111 ,NA,7149 ± 122 ,NA,18.74 ± 0.17 ,1.37 ± 0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.89 ± 1.26,0.24 ± 0.01,9.3 ± 0.08,2.66 ± 0.34,41.45 ± 3.26,NA,5.25 ± 0.14,NA,NA,NA,NA,NA,0.13 ± 0.01,0.71 ± 0.03,NA,NA,NA,1.88 ± 0.03,NA,NA,2.49 ± 0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8-14.8,4.9-8.1,11.2-12.5,15.5-19.0,14.3-17.0,3.7-5.2,9.6-13.4,8.9-10.6,12.5 ± 1.3,12.1-14.8,270.4 ± 0.3,174.1 ± 2.3,96.3 ± 1.5,NA,Yang et al. 2013,,
Common vetch ,Vicia sativa,Fabaceae,Food,NA,NA,NA,NA,24.0-24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1-11.2,4.2-4.6,10.0-10.9,15.0-16.6,14.4-15.7,5.0-5.1,9.3-10.2,9.7-10.7,NA,11.0-12.1,NA,NA,NA,NA,Sommerville 2006,,
Corn ,Zea mays,Poaceae,Food,5.4-7.0,2.4-2.6,0.9-1.9,0.7-7.0,14.9-19.1,64.4-75.4,14.7,397-417,814-816,54.62 ± 0.89,75.2 ± 0.4 ,999 ± 5 ,4651 ± 9 ,NA,5035 ± 5 ,NA,12.21 ± 0.03 ,0.13,NA,NA,NA,NA,15.3,2,NA,NA,NA,70.3,3.9,not detected,0.5669,0.5470,0.0187,62.1,25.14 ± 2.31,NA,7.20 ± 0.52,10.26 ± 0.79,52.06 ± 5.66,NA,1.24 ± 0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59 ± 0.16,NA,NA,2.51 ± 0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8-22 % lipids,NA,NA,NA,NA,6.5-14.2,2.6-6.0,6.3-13.2,9.5-19.7,7.7-21.6,0-3.0,5.3-12.8,5.7 ± 0.4,0-9.1,8.0-15.0,150.8 ± 0.3,94.1 ± 2.5,56.7 ± 2.0,NA,Yang et al. 2013; Chantarudee et al. 2012; Somerville 2006; Hsu et al. 2021; Campos et al. 2015; Goss 1968; Bianchi 1990; Lundgren 2004,,
Spearwood ,Acacia doratoxylon,Fabaceae,Trees-Bushes,19.2,NA,NA,NA,24.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,4.9,6.2,11.2,9.7,4.6,6.7,6.3,NA,8.4,NA,NA,NA,NA,Somerville 2006,,
Longleaf wattle ,Acacia longifolia,Fabaceae,Trees-Bushes,NA,NA,NA,NA,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,4.1,9.6,14.7,12.7,5.6,8.7,9.4,NA,11.0,NA,NA,NA,NA,Somerville 2006,,
